Customer_ID,Age,Gender,Item_Purchased,Category,Purchase_Amount,Location,Size,Color,Season,Review_Rating,Subscription_Status,Shipping_Type,Discount_Applied,Promo_Code_Used,Previous_Purchases,Payment_Method,Frequency_of_Purchases,Frequency_Score,Promo_Dependent,Satisfaction_Flag,Tenure_Band,Spend_Tier,Customer_Value_Score,Value_Tier,Promo_Value_Segment,Age_Group,Premium_Shipping_Flag,High_Value_Flag,Retention_Risk_Score,Loyalty_Score_A,Loyalty_Label_A,Loyalty_Score_B,Loyalty_Label_B,Customer_Segment
1,55,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,1,Express,1,1,14,Venmo,Fortnightly,26,1,Medium,Growing,Medium,0.3847,Silver,Low_Value_Promo_Dependent,55-64,1,0,2,0.3022,Transactional,0.4371,Developing,Discount Dependent
2,19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,1,Express,1,1,2,Cash,Fortnightly,26,1,Medium,New,Medium,0.3142,Silver,Low_Value_Promo_Dependent,18-24,1,0,2,0.2042,Transactional,0.4715,Developing,Discount Dependent
3,50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,1,Free Shipping,1,1,23,Credit Card,Weekly,52,1,Medium,Growing,High,0.7121,Platinum,High_Value_Promo_Dependent,45-54,0,1,2,0.5796,Loyal,0.4996,Developing,Low Engagement
4,21,Male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,1,Next Day Air,1,1,49,PayPal,Weekly,52,1,Medium,Veteran,High,0.9668,Platinum,High_Value_Promo_Dependent,18-24,1,1,2,0.7918,Loyal,0.6088,Loyal,Promo Convert Target
5,45,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,1,Free Shipping,1,1,31,PayPal,Annually,1,1,Low,Established,Medium,0.3174,Silver,Low_Value_Promo_Dependent,45-54,0,0,3,0.2449,Transactional,0.3686,Transactional,At Risk
6,46,Male,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,1,Standard,1,1,14,Venmo,Weekly,52,1,Low,Growing,Low,0.5061,Gold,High_Value_Promo_Dependent,45-54,0,1,3,0.5061,Developing,0.306,Transactional,At Risk
7,63,Male,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,1,Free Shipping,1,1,49,Cash,Quarterly,4,1,Medium,Veteran,High,0.5779,Gold,High_Value_Promo_Dependent,55-64,0,1,2,0.4154,Developing,0.5511,Loyal,Promo Convert Target
8,27,Male,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,1,Free Shipping,1,1,19,Credit Card,Weekly,52,1,Medium,Growing,Low,0.5819,Gold,High_Value_Promo_Dependent,25-34,0,1,2,0.5469,Loyal,0.3918,Developing,Low Engagement
9,26,Male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,1,Express,1,1,8,Venmo,Annually,1,1,Low,New,High,0.2496,Bronze,Low_Value_Promo_Dependent,25-34,1,0,3,0.0571,Transactional,0.5046,Developing,At Risk
10,57,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,1,2-Day Shipping,1,1,4,Cash,Quarterly,4,1,High,New,Low,0.0755,Bronze,Low_Value_Promo_Dependent,55-64,1,0,1,0.048,Transactional,0.6064,Loyal,Discount Dependent
11,53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,1,Store Pickup,1,1,26,Bank Transfer,Fortnightly,26,1,High,Established,Low,0.4352,Silver,Low_Value_Promo_Dependent,45-54,0,0,1,0.4002,Developing,0.5177,Loyal,Low Engagement
12,30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,1,Store Pickup,1,1,10,Bank Transfer,Fortnightly,26,1,High,Growing,Medium,0.3895,Silver,Low_Value_Promo_Dependent,25-34,0,0,1,0.2695,Transactional,0.736,Loyal,Discount Dependent
13,61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,1,Express,1,1,37,Venmo,Fortnightly,26,1,High,Established,Medium,0.62,Gold,High_Value_Promo_Dependent,55-64,1,1,1,0.49,Developing,0.6925,Loyal,Promo Convert Target
14,65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,1,Express,1,1,31,PayPal,Weekly,52,1,High,Established,Medium,0.7224,Platinum,High_Value_Promo_Dependent,65+,1,1,1,0.6449,Loyal,0.6549,Loyal,Promo Convert Target
15,64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,1,Free Shipping,1,1,34,Debit Card,Weekly,52,1,High,Established,Medium,0.7519,Platinum,High_Value_Promo_Dependent,55-64,0,1,1,0.6694,Loyal,0.6611,Loyal,Promo Convert Target
16,64,Male,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,1,Store Pickup,1,1,8,PayPal,Monthly,12,1,Low,New,High,0.2959,Silver,Low_Value_Promo_Dependent,55-64,0,0,3,0.1434,Transactional,0.4826,Developing,At Risk
